cve_id,component,severity,cvss_vector,cvss_version,base_score,AV,AC,PR,UI,S,C,I,A
CVE-2025-33238,triton-inference-server,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1,7.5,N,L,N,N,U,N,N,H
CVE-2026-24206,triton-inference-server,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L,3.1,7.3,N,L,N,N,U,L,L,L
CVE-2026-24207,triton-inference-server,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1,9.8,N,L,N,N,U,H,H,H
CVE-2026-30625,upsonic,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1,9.8,N,L,N,N,U,H,H,H
CVE-2024-11040,vllm,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.0,7.5,N,L,N,N,U,N,N,H
CVE-2024-11041,vllm,严重,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.0,9.8,N,L,N,N,U,H,H,H
CVE-2024-4839,vllm,MEDIUM,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:L,3.0,4.3,L,L,N,R,U,N,L,L
CVE-2024-8768,vllm,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1,7.5,N,L,N,N,U,N,N,H
CVE-2024-8939,vllm,MEDIUM,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1,6.1,L,L,N,N,U,N,N,H
CVE-2024-9052,vllm,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.0,9.8,N,L,N,N,U,H,H,H
CVE-2024-9053,vllm,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.0,9.8,N,L,N,N,U,H,H,H
CVE-2025-1953,vllm,低,CVSS:3.1/AV:A/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1,2.6,A,H,L,N,U,L,N,N
CVE-2025-24357,vllm,严重,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1,9.8,N,L,N,N,U,H,H,H
CVE-2025-25183,vllm,LOW,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:N/I:L/A:N,3.1,2.6,N,H,L,R,U,N,L,N
CVE-2025-29770,vllm,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,6.4,N,L,L,N,U,N,N,H
CVE-2025-29783,vllm,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,3.1,10.0,N,L,N,N,C,H,H,H
CVE-2025-30165,vllm,高,CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1,7.9,A,L,L,N,U,H,H,H
CVE-2025-30202,vllm,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1,7.5,N,L,N,N,U,N,N,H
CVE-2025-32381,vllm,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,6.4,N,L,L,N,U,N,N,H
CVE-2025-32444,vllm,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,3.1,10.0,N,L,N,N,C,H,H,H
CVE-2025-46560,vllm,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,6.4,N,L,L,N,U,N,N,H
